,Week,Price,Sales,Remaining,foresight,Choice,diff,revenue,perfect
0,1,60,83,1917,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
1,2,60,110,1807,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
2,3,60,91,1716,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
3,4,54,75,1641,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",1,13.8,84942,98562
4,5,48,100,1541,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",2,13.8,84942,98562
5,6,48,182,1359,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
6,7,48,116,1243,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
7,8,36,157,1086,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",3,13.8,84942,98562
8,9,36,189,897,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
9,10,36,302,595,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
10,11,36,208,387,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
11,12,36,330,57,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
12,13,36,57,0,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
13,14,36,0,0,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
14,15,36,0,0,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
0,1,60,68,1932,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
1,2,60,71,1861,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
2,3,60,94,1767,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
3,4,60,42,1725,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
4,5,54,55,1670,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",1,7.1,80076,86232
5,6,54,93,1577,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
6,7,54,68,1509,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
7,8,48,191,1318,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",2,7.1,80076,86232
8,9,48,127,1191,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
9,10,36,176,1015,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",3,7.1,80076,86232
10,11,36,182,833,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
11,12,36,70,763,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
12,13,36,212,551,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
13,14,36,163,388,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
14,15,36,215,173,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
0,1,60,137,1863,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
1,2,60,195,1668,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
2,3,60,140,1528,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
3,4,54,169,1359,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",1,22.3,93288,120000
4,5,54,137,1222,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
5,6,48,226,996,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",2,22.3,93288,120000
6,7,48,145,851,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
7,8,36,507,344,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",3,22.3,93288,120000
8,9,36,344,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
9,10,36,0,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
10,11,36,0,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
11,12,36,0,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
12,13,36,0,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
13,14,36,0,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
14,15,36,0,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
0,1,60,108,1892,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
1,2,60,127,1765,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
2,3,60,83,1682,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
3,4,54,197,1485,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",1,20.5,89544,112668
4,5,54,91,1394,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
5,6,48,240,1154,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",2,20.5,89544,112668
6,7,48,154,1000,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
7,8,36,546,454,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",3,20.5,89544,112668
8,9,36,282,172,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
9,10,36,172,0,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
10,11,36,0,0,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
11,12,36,0,0,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
12,13,36,0,0,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
13,14,36,0,0,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
14,15,36,0,0,"Your revenue: $89,544, Perfect foresight strategy: $112,668, Difference: 20.5%",0,20.5,89544,112668
0,1,60,109,1891,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
1,2,60,122,1769,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
2,3,60,134,1635,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
3,4,60,169,1466,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
4,5,60,129,1337,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
5,6,54,159,1178,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",1,12.2,101868,116088
6,7,54,181,997,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
7,8,54,144,853,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
8,9,48,254,599,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",2,12.2,101868,116088
9,10,48,183,416,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
10,11,36,179,237,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",3,12.2,101868,116088
11,12,36,237,0,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
12,13,36,0,0,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
13,14,36,0,0,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
14,15,36,0,0,"Your revenue: $101,868, Perfect foresight strategy: $116,088, Difference: 12.2%",0,12.2,101868,116088
0,1,60,97,1903,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
1,2,60,96,1807,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
2,3,54,114,1693,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",1,17.2,88782,107208
3,4,54,123,1570,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
4,5,54,135,1435,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
5,6,54,53,1382,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
6,7,48,203,1179,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",2,17.2,88782,107208
7,8,48,172,1007,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
8,9,36,273,734,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",3,17.2,88782,107208
9,10,36,392,342,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
10,11,36,235,107,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
11,12,36,107,0,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
12,13,36,0,0,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
13,14,36,0,0,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
14,15,36,0,0,"Your revenue: $88,782, Perfect foresight strategy: $107,208, Difference: 17.2%",0,17.2,88782,107208
0,1,60,98,1902,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
1,2,60,70,1832,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
2,3,54,56,1776,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",1,21.8,85416,109266
3,4,48,214,1562,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",2,21.8,85416,109266
4,5,48,263,1299,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
5,6,48,221,1078,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
6,7,36,360,718,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",3,21.8,85416,109266
7,8,36,223,495,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
8,9,36,367,128,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
9,10,36,128,0,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
10,11,36,0,0,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
11,12,36,0,0,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
12,13,36,0,0,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
13,14,36,0,0,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
14,15,36,0,0,"Your revenue: $85,416, Perfect foresight strategy: $109,266, Difference: 21.8%",0,21.8,85416,109266
0,1,60,106,1894,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
1,2,60,154,1740,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
2,3,60,128,1612,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
3,4,54,83,1529,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",1,20.9,90378,114330
4,5,48,230,1299,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",2,20.9,90378,114330
5,6,48,250,1049,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
6,7,48,151,898,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
7,8,36,334,564,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",3,20.9,90378,114330
8,9,36,329,235,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
9,10,36,235,0,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
10,11,36,0,0,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
11,12,36,0,0,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
12,13,36,0,0,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
13,14,36,0,0,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
14,15,36,0,0,"Your revenue: $90,378, Perfect foresight strategy: $114,330, Difference: 20.9%",0,20.9,90378,114330
0,1,60,131,1869,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
1,2,60,122,1747,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
2,3,54,134,1613,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",1,22.5,91320,117792
3,4,54,165,1448,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
4,5,54,159,1289,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
5,6,48,257,1032,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",2,22.5,91320,117792
6,7,48,160,872,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
7,8,36,373,499,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",3,22.5,91320,117792
8,9,36,396,103,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
9,10,36,103,0,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
10,11,36,0,0,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
11,12,36,0,0,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
12,13,36,0,0,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
13,14,36,0,0,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
14,15,36,0,0,"Your revenue: $91,320, Perfect foresight strategy: $117,792, Difference: 22.5%",0,22.5,91320,117792
0,1,60,51,1949,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
1,2,60,42,1907,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
2,3,54,99,1808,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",1,4.4,75234,78684
3,4,54,54,1754,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
4,5,48,91,1663,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",2,4.4,75234,78684
5,6,48,116,1547,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
6,7,48,79,1468,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
7,8,36,82,1386,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",3,4.4,75234,78684
8,9,36,137,1249,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
9,10,36,164,1085,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
10,11,36,165,920,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
11,12,36,192,728,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
12,13,36,199,529,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
13,14,36,143,386,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
14,15,36,242,144,"Your revenue: $75,234, Perfect foresight strategy: $78,684, Difference: 4.4%",0,4.4,75234,78684
0,1,60,86,1914,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
1,2,60,92,1822,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
2,3,60,75,1747,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
3,4,54,123,1624,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",1,7.9,91632,99462
4,5,54,173,1451,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
5,6,54,88,1363,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
6,7,48,118,1245,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",2,7.9,91632,99462
7,8,48,146,1099,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
8,9,48,158,941,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
9,10,48,132,809,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
10,11,36,207,602,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",3,7.9,91632,99462
11,12,36,225,377,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
12,13,36,259,118,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
13,14,36,118,0,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
14,15,36,0,0,"Your revenue: $91,632, Perfect foresight strategy: $99,462, Difference: 7.9%",0,7.9,91632,99462
0,1,60,51,1949,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
1,2,60,81,1868,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
2,3,60,49,1819,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
3,4,54,61,1758,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",1,13.5,64350,74388
4,5,54,48,1710,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
5,6,48,85,1625,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",2,13.5,64350,74388
6,7,48,87,1538,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
7,8,48,107,1431,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
8,9,48,82,1349,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
9,10,36,137,1212,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",3,13.5,64350,74388
10,11,36,121,1091,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
11,12,36,213,878,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
12,13,36,124,754,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
13,14,36,96,658,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
14,15,36,150,508,"Your revenue: $64,350, Perfect foresight strategy: $74,388, Difference: 13.5%",0,13.5,64350,74388
0,1,60,89,1911,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
1,2,60,108,1803,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
2,3,60,121,1682,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
3,4,60,85,1597,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
4,5,54,132,1465,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",1,16.4,90702,108534
5,6,54,77,1388,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
6,7,48,289,1099,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",2,16.4,90702,108534
7,8,48,150,949,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
8,9,36,332,617,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",3,16.4,90702,108534
9,10,36,230,387,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
10,11,36,384,3,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
11,12,36,3,0,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
12,13,36,0,0,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
13,14,36,0,0,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
14,15,36,0,0,"Your revenue: $90,702, Perfect foresight strategy: $108,534, Difference: 16.4%",0,16.4,90702,108534
0,1,60,59,1941,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
1,2,60,46,1895,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
2,3,54,85,1810,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",1,2.1,78618,80280
3,4,54,66,1744,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
4,5,48,112,1632,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",2,2.1,78618,80280
5,6,48,75,1557,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
6,7,36,172,1385,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",3,2.1,78618,80280
7,8,36,210,1175,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
8,9,36,88,1087,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
9,10,36,214,873,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
10,11,36,149,724,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
11,12,36,105,619,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
12,13,36,235,384,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
13,14,36,226,158,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
14,15,36,134,24,"Your revenue: $78,618, Perfect foresight strategy: $80,280, Difference: 2.1%",0,2.1,78618,80280
0,1,60,61,1939,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
1,2,60,78,1861,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
2,3,60,56,1805,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
3,4,54,86,1719,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",1,4,82482,85920
4,5,54,49,1670,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
5,6,48,93,1577,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",2,4,82482,85920
6,7,48,96,1481,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
7,8,48,92,1389,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
8,9,36,286,1103,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",3,4,82482,85920
9,10,36,258,845,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
10,11,36,175,670,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
11,12,36,219,451,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
12,13,36,185,266,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
13,14,36,230,36,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
14,15,36,36,0,"Your revenue: $82,482, Perfect foresight strategy: $85,920, Difference: 4.0%",0,4,82482,85920
0,1,60,94,1906,"Your revenue: $86,970, Perfect foresight strategy: $107,514, Difference: 19.1%",0,19.1,86970,107514
1,2,60,103,1803,"Your revenue: $86,970, Perfect foresight strategy: $107,514, Difference: 19.1%",0,19.1,86970,107514
2,3,60,75,1728,"Your revenue: $86,970, Perfect foresight strategy: $107,514, Difference: 19.1%",0,19.1,86970,107514
3,4,54,162,1566,"Your revenue: $86,970, Perfect foresight strategy: $107,514, Difference: 19.1%",1,19.1,86970,107514
4,5,54,83,1483,"Your revenue: $86,970, Perfect foresight strategy: $107,514, Difference: 19.1%",0,19.1,86970,107514
5,6,48,191,1292,"Your revenue: $86,970, Perfect foresight strategy: $107,514, Difference: 19.1%",2,19.1,86970,107514
